sex,age,survived,pclass,sibsp,parch,fare,Cabin.Level
male,55.0,0.0,1.0,1.0,1.0,93.5,B
female,52.0,1.0,1.0,1.0,1.0,93.5,B
male,42.0,0.0,1.0,0.0,0.0,42.5,B
male,55.0,0.0,1.0,0.0,0.0,50.0,C
female,16.0,1.0,1.0,0.0,1.0,57.9792,B
female,44.0,1.0,1.0,0.0,1.0,57.9792,B
female,51.0,1.0,1.0,1.0,0.0,77.9583,D
male,42.0,0.0,1.0,1.0,0.0,52.0,
female,35.0,1.0,1.0,1.0,0.0,52.0,
male,35.0,1.0,1.0,0.0,0.0,26.55,
male,38.0,1.0,1.0,1.0,0.0,90.0,C
female,35.0,1.0,1.0,1.0,0.0,90.0,C
female,50.0,0.0,1.0,0.0,0.0,28.7125,C
male,49.0,1.0,1.0,0.0,0.0,0.0,B
male,46.0,0.0,1.0,0.0,0.0,26.0,
male,50.0,0.0,1.0,0.0,0.0,26.0,E
male,32.5,0.0,1.0,0.0,0.0,211.5,C
male,58.0,0.0,1.0,0.0,0.0,29.7,B
male,41.0,0.0,1.0,1.0,0.0,51.8625,D
male,42.0,1.0,1.0,1.0,0.0,52.5542,D
female,45.0,1.0,1.0,1.0,0.0,52.5542,D
female,39.0,1.0,1.0,0.0,0.0,211.3375,
female,49.0,1.0,1.0,0.0,0.0,25.9292,D
female,30.0,1.0,1.0,0.0,0.0,106.425,
male,35.0,1.0,1.0,0.0,0.0,512.3292,B
male,42.0,0.0,1.0,0.0,0.0,26.55,
female,55.0,1.0,1.0,0.0,0.0,27.7208,
female,16.0,1.0,1.0,0.0,1.0,39.4,D
female,51.0,1.0,1.0,0.0,1.0,39.4,D
male,29.0,0.0,1.0,0.0,0.0,30.0,D
female,21.0,1.0,1.0,0.0,0.0,77.9583,D
male,30.0,0.0,1.0,0.0,0.0,45.5,
female,58.0,1.0,1.0,0.0,0.0,146.5208,B
female,15.0,1.0,1.0,0.0,1.0,211.3375,B
male,30.0,0.0,1.0,0.0,0.0,26.0,C
female,16.0,1.0,1.0,0.0,0.0,86.5,B
male,19.0,0.0,1.0,1.0,0.0,53.1,D
female,18.0,1.0,1.0,1.0,0.0,53.1,D
female,24.0,1.0,1.0,0.0,0.0,49.5042,C
male,46.0,0.0,1.0,0.0,0.0,75.2417,C
male,54.0,0.0,1.0,0.0,0.0,51.8625,E
male,36.0,1.0,1.0,0.0,0.0,26.2875,E
male,28.0,0.0,1.0,1.0,0.0,82.1708,
male,65.0,0.0,1.0,0.0,0.0,26.55,E
male,44.0,0.0,1.0,2.0,0.0,90.0,C
female,33.0,1.0,1.0,1.0,0.0,90.0,C
female,37.0,1.0,1.0,1.0,0.0,90.0,C
male,30.0,1.0,1.0,1.0,0.0,57.75,C
male,55.0,0.0,1.0,0.0,0.0,30.5,C
male,47.0,0.0,1.0,0.0,0.0,42.4,
male,37.0,0.0,1.0,0.0,1.0,29.7,C
female,31.0,1.0,1.0,1.0,0.0,113.275,D
female,23.0,1.0,1.0,1.0,0.0,113.275,D
male,58.0,0.0,1.0,0.0,2.0,113.275,D
female,19.0,1.0,1.0,0.0,2.0,26.2833,D
male,64.0,0.0,1.0,0.0,0.0,26.0,
female,39.0,1.0,1.0,0.0,0.0,108.9,C
female,22.0,1.0,1.0,0.0,1.0,61.9792,B
male,65.0,0.0,1.0,0.0,1.0,61.9792,B
male,28.5,0.0,1.0,0.0,0.0,27.7208,D
male,45.5,0.0,1.0,0.0,0.0,28.5,C
male,23.0,0.0,1.0,0.0,0.0,93.5,B
male,29.0,0.0,1.0,1.0,0.0,66.6,C
female,22.0,1.0,1.0,1.0,0.0,66.6,C
male,18.0,0.0,1.0,1.0,0.0,108.9,C
female,17.0,1.0,1.0,1.0,0.0,108.9,C
female,30.0,1.0,1.0,0.0,0.0,93.5,B
male,52.0,1.0,1.0,0.0,0.0,30.5,C
male,47.0,0.0,1.0,0.0,0.0,52.0,C
female,56.0,1.0,1.0,0.0,1.0,83.1583,C
male,38.0,0.0,1.0,0.0,0.0,0.0,
male,22.0,0.0,1.0,0.0,0.0,135.6333,
female,43.0,1.0,1.0,0.0,1.0,211.3375,B
male,31.0,0.0,1.0,0.0,0.0,50.4958,A
male,45.0,1.0,1.0,0.0,0.0,26.55,
female,33.0,1.0,1.0,0.0,0.0,27.7208,A
male,46.0,0.0,1.0,0.0,0.0,79.2,
male,36.0,0.0,1.0,0.0,0.0,40.125,A
female,33.0,1.0,1.0,0.0,0.0,86.5,B
male,55.0,0.0,1.0,1.0,0.0,59.4,
female,54.0,1.0,1.0,1.0,0.0,59.4,
male,33.0,0.0,1.0,0.0,0.0,26.55,
male,13.0,1.0,1.0,2.0,2.0,262.375,B
female,18.0,1.0,1.0,2.0,2.0,262.375,B
female,21.0,1.0,1.0,2.0,2.0,262.375,B
male,61.0,0.0,1.0,1.0,3.0,262.375,B
female,48.0,1.0,1.0,1.0,3.0,262.375,B
female,24.0,1.0,1.0,0.0,0.0,69.3,B
female,35.0,1.0,1.0,1.0,0.0,57.75,C
female,30.0,1.0,1.0,0.0,0.0,31.0,
male,34.0,1.0,1.0,0.0,0.0,26.55,
female,40.0,1.0,1.0,0.0,0.0,153.4625,C
male,35.0,1.0,1.0,0.0,0.0,26.2875,E
male,50.0,0.0,1.0,1.0,0.0,55.9,E
female,39.0,1.0,1.0,1.0,0.0,55.9,E
male,56.0,1.0,1.0,0.0,0.0,35.5,A
male,28.0,1.0,1.0,0.0,0.0,35.5,A
male,56.0,0.0,1.0,0.0,0.0,26.55,
male,56.0,0.0,1.0,0.0,0.0,30.6958,A
male,24.0,0.0,1.0,1.0,0.0,60.0,C
female,18.0,1.0,1.0,1.0,0.0,60.0,C
male,24.0,1.0,1.0,1.0,0.0,82.2667,B
female,23.0,1.0,1.0,1.0,0.0,82.2667,B
male,6.0,1.0,1.0,0.0,2.0,134.5,E
male,45.0,1.0,1.0,1.0,1.0,134.5,E
female,40.0,1.0,1.0,1.0,1.0,134.5,E
male,57.0,0.0,1.0,1.0,0.0,146.5208,B
male,32.0,1.0,1.0,0.0,0.0,30.5,B
male,62.0,0.0,1.0,0.0,0.0,26.55,C
male,54.0,1.0,1.0,1.0,0.0,55.4417,C
female,43.0,1.0,1.0,1.0,0.0,55.4417,C
female,52.0,1.0,1.0,1.0,0.0,78.2667,D
male,67.0,0.0,1.0,1.0,0.0,221.7792,C
female,63.0,0.0,1.0,1.0,0.0,221.7792,C
male,61.0,0.0,1.0,0.0,0.0,32.3208,D
female,48.0,1.0,1.0,0.0,0.0,25.9292,D
female,18.0,1.0,1.0,0.0,2.0,79.65,E
male,52.0,0.0,1.0,1.0,1.0,79.65,E
female,39.0,1.0,1.0,1.0,1.0,79.65,E
male,48.0,1.0,1.0,1.0,0.0,52.0,C
male,49.0,0.0,1.0,1.0,1.0,110.8833,C
male,17.0,1.0,1.0,0.0,2.0,110.8833,C
female,39.0,1.0,1.0,1.0,1.0,110.8833,C
male,31.0,1.0,1.0,0.0,0.0,28.5375,C
male,40.0,0.0,1.0,0.0,0.0,27.7208,
male,61.0,0.0,1.0,0.0,0.0,33.5,B
male,47.0,0.0,1.0,0.0,0.0,34.0208,D
female,35.0,1.0,1.0,0.0,0.0,512.3292,
male,64.0,0.0,1.0,1.0,0.0,75.25,D
female,60.0,1.0,1.0,1.0,0.0,75.25,D
male,60.0,0.0,1.0,0.0,0.0,26.55,
male,54.0,0.0,1.0,0.0,1.0,77.2875,D
male,21.0,0.0,1.0,0.0,1.0,77.2875,D
female,55.0,1.0,1.0,0.0,0.0,135.6333,C
female,31.0,1.0,1.0,0.0,2.0,164.8667,C
male,57.0,0.0,1.0,1.0,1.0,164.8667,
female,45.0,1.0,1.0,1.0,1.0,164.8667,
male,50.0,0.0,1.0,1.0,1.0,211.5,C
male,27.0,0.0,1.0,0.0,2.0,211.5,C
female,50.0,1.0,1.0,1.0,1.0,211.5,C
female,21.0,1.0,1.0,0.0,0.0,26.55,
male,51.0,0.0,1.0,0.0,1.0,61.3792,
male,21.0,1.0,1.0,0.0,1.0,61.3792,
female,31.0,1.0,1.0,0.0,0.0,134.5,E
male,62.0,0.0,1.0,0.0,0.0,26.55,
female,36.0,1.0,1.0,0.0,0.0,135.6333,C
male,30.0,0.0,2.0,1.0,0.0,24.0,
female,28.0,1.0,2.0,1.0,0.0,24.0,
male,30.0,0.0,2.0,0.0,0.0,13.0,
male,18.0,0.0,2.0,0.0,0.0,11.5,
male,25.0,0.0,2.0,0.0,0.0,10.5,
male,34.0,0.0,2.0,1.0,0.0,26.0,
female,36.0,1.0,2.0,1.0,0.0,26.0,
male,57.0,0.0,2.0,0.0,0.0,13.0,
male,18.0,0.0,2.0,0.0,0.0,11.5,
male,23.0,0.0,2.0,0.0,0.0,10.5,
female,36.0,1.0,2.0,0.0,0.0,13.0,D
male,28.0,0.0,2.0,0.0,0.0,10.5,
male,51.0,0.0,2.0,0.0,0.0,12.525,
male,32.0,1.0,2.0,1.0,0.0,26.0,
female,19.0,1.0,2.0,1.0,0.0,26.0,
male,28.0,0.0,2.0,0.0,0.0,26.0,
male,1.0,1.0,2.0,2.0,1.0,39.0,F
female,4.0,1.0,2.0,2.0,1.0,39.0,F
female,12.0,1.0,2.0,2.0,1.0,39.0,F
female,36.0,1.0,2.0,0.0,3.0,39.0,F
male,34.0,1.0,2.0,0.0,0.0,13.0,D
female,19.0,1.0,2.0,0.0,0.0,13.0,
male,23.0,0.0,2.0,0.0,0.0,13.0,
male,26.0,0.0,2.0,0.0,0.0,13.0,
male,42.0,0.0,2.0,0.0,0.0,13.0,
male,27.0,0.0,2.0,0.0,0.0,13.0,
female,24.0,1.0,2.0,0.0,0.0,13.0,F
female,15.0,1.0,2.0,0.0,2.0,39.0,
male,60.0,0.0,2.0,1.0,1.0,39.0,
female,40.0,1.0,2.0,1.0,1.0,39.0,
female,20.0,1.0,2.0,1.0,0.0,26.0,
male,25.0,0.0,2.0,1.0,0.0,26.0,
female,36.0,1.0,2.0,0.0,0.0,13.0,
male,25.0,0.0,2.0,0.0,0.0,13.0,
male,42.0,0.0,2.0,0.0,0.0,13.0,
female,42.0,1.0,2.0,0.0,0.0,13.0,
male,0.8333,1.0,2.0,0.0,2.0,29.0,
male,26.0,1.0,2.0,1.0,1.0,29.0,
female,22.0,1.0,2.0,1.0,1.0,29.0,
female,35.0,1.0,2.0,0.0,0.0,21.0,
male,19.0,0.0,2.0,0.0,0.0,13.0,
female,44.0,0.0,2.0,1.0,0.0,26.0,
male,54.0,0.0,2.0,1.0,0.0,26.0,
male,52.0,0.0,2.0,0.0,0.0,13.5,
male,37.0,0.0,2.0,1.0,0.0,26.0,
female,29.0,0.0,2.0,1.0,0.0,26.0,
female,25.0,1.0,2.0,1.0,1.0,30.0,
female,45.0,1.0,2.0,0.0,2.0,30.0,
male,29.0,0.0,2.0,1.0,0.0,26.0,
female,28.0,1.0,2.0,1.0,0.0,26.0,
male,29.0,0.0,2.0,0.0,0.0,10.5,
male,28.0,0.0,2.0,0.0,0.0,13.0,
male,24.0,1.0,2.0,0.0,0.0,10.5,
female,8.0,1.0,2.0,0.0,2.0,26.25,
male,31.0,0.0,2.0,1.0,1.0,26.25,
female,31.0,1.0,2.0,1.0,1.0,26.25,
female,22.0,1.0,2.0,0.0,0.0,10.5,F
female,30.0,0.0,2.0,0.0,0.0,13.0,
male,21.0,0.0,2.0,0.0,0.0,11.5,
male,8.0,1.0,2.0,1.0,1.0,36.75,
male,18.0,0.0,2.0,0.0,0.0,73.5,
female,48.0,1.0,2.0,0.0,2.0,36.75,
female,28.0,1.0,2.0,0.0,0.0,13.0,
male,32.0,0.0,2.0,0.0,0.0,13.0,
male,17.0,0.0,2.0,0.0,0.0,73.5,
male,29.0,0.0,2.0,1.0,0.0,27.7208,
female,24.0,1.0,2.0,1.0,0.0,27.7208,
male,25.0,0.0,2.0,0.0,0.0,31.5,
male,18.0,0.0,2.0,0.0,0.0,73.5,
female,18.0,1.0,2.0,0.0,1.0,23.0,
female,34.0,1.0,2.0,0.0,1.0,23.0,
male,54.0,0.0,2.0,0.0,0.0,26.0,
male,8.0,1.0,2.0,0.0,2.0,32.5,
male,42.0,0.0,2.0,1.0,1.0,32.5,
female,34.0,1.0,2.0,1.0,1.0,32.5,
female,27.0,1.0,2.0,1.0,0.0,13.8583,
female,30.0,1.0,2.0,1.0,0.0,13.8583,
male,23.0,0.0,2.0,0.0,0.0,13.0,
male,21.0,0.0,2.0,0.0,0.0,13.0,
male,18.0,0.0,2.0,0.0,0.0,13.0,
male,40.0,0.0,2.0,1.0,0.0,26.0,
female,29.0,1.0,2.0,1.0,0.0,26.0,
male,18.0,0.0,2.0,0.0,0.0,10.5,
male,36.0,0.0,2.0,0.0,0.0,13.0,
female,38.0,0.0,2.0,0.0,0.0,13.0,
male,35.0,0.0,2.0,0.0,0.0,26.0,
male,38.0,0.0,2.0,1.0,0.0,21.0,
male,34.0,0.0,2.0,1.0,0.0,21.0,
female,34.0,1.0,2.0,0.0,0.0,13.0,
male,16.0,0.0,2.0,0.0,0.0,26.0,
male,26.0,0.0,2.0,0.0,0.0,10.5,
male,47.0,0.0,2.0,0.0,0.0,10.5,
male,21.0,0.0,2.0,1.0,0.0,11.5,
male,21.0,0.0,2.0,1.0,0.0,11.5,
male,24.0,0.0,2.0,0.0,0.0,13.5,
male,24.0,0.0,2.0,0.0,0.0,13.0,
male,34.0,0.0,2.0,0.0,0.0,13.0,
male,30.0,0.0,2.0,0.0,0.0,13.0,
male,52.0,0.0,2.0,0.0,0.0,13.0,
male,30.0,0.0,2.0,0.0,0.0,13.0,
male,0.6667,1.0,2.0,1.0,1.0,14.5,
female,24.0,1.0,2.0,0.0,2.0,14.5,
male,44.0,0.0,2.0,0.0,0.0,13.0,
female,6.0,1.0,2.0,0.0,1.0,33.0,
male,28.0,0.0,2.0,0.0,1.0,33.0,
male,62.0,1.0,2.0,0.0,0.0,10.5,
male,30.0,0.0,2.0,0.0,0.0,10.5,
female,7.0,1.0,2.0,0.0,2.0,26.25,
male,43.0,0.0,2.0,1.0,1.0,26.25,
female,45.0,1.0,2.0,1.0,1.0,26.25,
female,24.0,1.0,2.0,1.0,2.0,65.0,
female,24.0,1.0,2.0,1.0,2.0,65.0,
male,49.0,0.0,2.0,1.0,2.0,65.0,
female,48.0,1.0,2.0,1.0,2.0,65.0,
female,55.0,1.0,2.0,0.0,0.0,16.0,
male,24.0,0.0,2.0,2.0,0.0,73.5,
male,32.0,0.0,2.0,2.0,0.0,73.5,
male,21.0,0.0,2.0,2.0,0.0,73.5,
female,18.0,0.0,2.0,1.0,1.0,13.0,
female,20.0,1.0,2.0,2.0,1.0,23.0,
male,23.0,0.0,2.0,2.0,1.0,11.5,
male,36.0,0.0,2.0,0.0,0.0,13.0,
female,54.0,1.0,2.0,1.0,3.0,23.0,
male,50.0,0.0,2.0,0.0,0.0,13.0,
male,44.0,0.0,2.0,1.0,0.0,26.0,
female,29.0,1.0,2.0,1.0,0.0,26.0,
male,21.0,0.0,2.0,0.0,0.0,73.5,
male,42.0,1.0,2.0,0.0,0.0,13.0,
male,63.0,0.0,2.0,1.0,0.0,26.0,
female,60.0,0.0,2.0,1.0,0.0,26.0,
male,33.0,0.0,2.0,0.0,0.0,12.275,
female,17.0,1.0,2.0,0.0,0.0,10.5,
male,42.0,0.0,2.0,1.0,0.0,27.0,
female,24.0,1.0,2.0,2.0,1.0,27.0,
male,47.0,0.0,2.0,0.0,0.0,15.0,
male,24.0,0.0,2.0,2.0,0.0,31.5,
male,22.0,0.0,2.0,2.0,0.0,31.5,
male,32.0,0.0,2.0,0.0,0.0,10.5,
female,23.0,1.0,2.0,0.0,0.0,13.7917,D
male,34.0,0.0,2.0,1.0,0.0,26.0,
female,24.0,1.0,2.0,1.0,0.0,26.0,
female,22.0,0.0,2.0,0.0,0.0,21.0,
male,35.0,0.0,2.0,0.0,0.0,12.35,
female,45.0,1.0,2.0,0.0,0.0,13.5,
male,57.0,0.0,2.0,0.0,0.0,12.35,
male,31.0,0.0,2.0,0.0,0.0,10.5,
female,26.0,0.0,2.0,1.0,1.0,26.0,
male,30.0,0.0,2.0,1.0,1.0,26.0,
female,1.0,1.0,2.0,1.0,2.0,41.5792,
female,3.0,1.0,2.0,1.0,2.0,41.5792,
male,25.0,0.0,2.0,1.0,2.0,41.5792,
female,22.0,1.0,2.0,1.0,2.0,41.5792,
female,17.0,1.0,2.0,0.0,0.0,12.0,
female,34.0,1.0,2.0,0.0,0.0,10.5,F
male,36.0,0.0,2.0,0.0,0.0,12.875,D
male,24.0,0.0,2.0,0.0,0.0,10.5,
male,61.0,0.0,2.0,0.0,0.0,12.35,
male,50.0,0.0,2.0,1.0,0.0,26.0,
female,42.0,1.0,2.0,1.0,0.0,26.0,
female,57.0,0.0,2.0,0.0,0.0,10.5,E
male,1.0,1.0,2.0,0.0,2.0,37.0042,
male,31.0,0.0,2.0,1.0,1.0,37.0042,
female,24.0,1.0,2.0,1.0,1.0,37.0042,
male,30.0,0.0,2.0,0.0,0.0,13.0,
male,40.0,0.0,2.0,0.0,0.0,16.0,
male,32.0,0.0,2.0,0.0,0.0,13.5,
male,30.0,0.0,2.0,0.0,0.0,13.0,
male,46.0,0.0,2.0,0.0,0.0,26.0,
female,13.0,1.0,2.0,0.0,1.0,19.5,
female,41.0,1.0,2.0,0.0,1.0,19.5,
male,19.0,1.0,2.0,0.0,0.0,10.5,
male,39.0,0.0,2.0,0.0,0.0,13.0,
male,48.0,0.0,2.0,0.0,0.0,13.0,
male,70.0,0.0,2.0,0.0,0.0,10.5,
male,27.0,0.0,2.0,0.0,0.0,13.0,
male,54.0,0.0,2.0,0.0,0.0,14.0,
male,39.0,0.0,2.0,0.0,0.0,26.0,
male,16.0,0.0,2.0,0.0,0.0,10.5,
male,62.0,0.0,2.0,0.0,0.0,9.6875,
male,32.5,0.0,2.0,1.0,0.0,30.0708,
female,14.0,1.0,2.0,1.0,0.0,30.0708,
male,2.0,1.0,2.0,1.0,1.0,26.0,F
male,3.0,1.0,2.0,1.0,1.0,26.0,F
male,36.5,0.0,2.0,0.0,2.0,26.0,F
male,26.0,0.0,2.0,0.0,0.0,13.0,F
male,19.0,0.0,2.0,1.0,1.0,36.75,
male,28.0,0.0,2.0,0.0,0.0,13.5,
male,20.0,1.0,2.0,0.0,0.0,13.8625,D
female,29.0,1.0,2.0,0.0,0.0,10.5,F
male,39.0,0.0,2.0,0.0,0.0,13.0,
male,22.0,1.0,2.0,0.0,0.0,10.5,
male,23.0,0.0,2.0,0.0,0.0,10.5,
male,29.0,1.0,2.0,0.0,0.0,13.8583,
male,28.0,0.0,2.0,0.0,0.0,10.5,
female,50.0,1.0,2.0,0.0,1.0,26.0,
male,19.0,0.0,2.0,0.0,0.0,10.5,
male,41.0,0.0,2.0,0.0,0.0,13.0,
female,21.0,1.0,2.0,0.0,1.0,21.0,
female,19.0,1.0,2.0,0.0,0.0,26.0,
male,43.0,0.0,2.0,0.0,1.0,21.0,
female,32.0,1.0,2.0,0.0,0.0,13.0,
male,34.0,0.0,2.0,0.0,0.0,13.0,
male,30.0,1.0,2.0,0.0,0.0,12.7375,
male,27.0,0.0,2.0,0.0,0.0,15.0333,
female,2.0,1.0,2.0,1.0,1.0,26.0,
female,8.0,1.0,2.0,1.0,1.0,26.0,
female,33.0,1.0,2.0,0.0,2.0,26.0,
male,36.0,0.0,2.0,0.0,0.0,10.5,
male,34.0,0.0,2.0,1.0,0.0,21.0,
female,30.0,1.0,2.0,3.0,0.0,21.0,
female,28.0,1.0,2.0,0.0,0.0,13.0,
male,23.0,0.0,2.0,0.0,0.0,15.0458,
male,0.8333,1.0,2.0,1.0,1.0,18.75,
male,3.0,1.0,2.0,1.0,1.0,18.75,
female,24.0,1.0,2.0,2.0,3.0,18.75,
female,50.0,1.0,2.0,0.0,0.0,10.5,
male,19.0,0.0,2.0,0.0,0.0,10.5,
female,21.0,1.0,2.0,0.0,0.0,10.5,
male,26.0,0.0,2.0,0.0,0.0,13.0,
